Sentence,Party,Sentiment,Overall Sentiment
Mitchell opened herself up to the full range of possible sentences,"[[mitchell],[]]","[[0],[]]",0
she was told during her plea colloquy,"[[she,her],[]]","[[0,0],[]]",0
"While her reservation may have put the government to its proof as to the amount of drugs, her declination to testify on that issue could properly be held against her.""","[[her_1,her_2,her_3],[government]]","[[-1,-1,-1],[1]]",-1
her reservation may have put the government to its proof as to the amount of drugs,"[[her],[government]]","[[-1],[1]]",-1
"The court a defendant may plead guilty and retain the privilege with respect to other crimes, but it observed: ""Mitchell does not claim that she could be implicated in other crimes by testifying at her sentencing hearing, nor could she be retried by the state for the same offense.""","[[mitchell,she_1,she_2,her],[defendant]]","[[-1,-1,-1,-1],[1]]",-1
a defendant may plead guilty and retain the privilege with respect to other crimes,"[[],[defendant]]","[[],[1]]",1
Mitchell does not claim,"[[mitchell],[]]","[[-1],[]]",-1
she could be implicated in other crimes by testifying at her sentencing hearing,"[[she,her],[]]","[[-1,-1],[]]",-1
The Government maintains that petitioner guilty plea was a waiver of the privilege against compelled self-incrimination with respect to all the crimes comprehended in the plea.,"[[petitioner],[government]]","[[-1],[1]]",-1
petitioner guilty plea was a waiver of the privilege against compelled self-incrimination with respect to all the crimes comprehended in the plea,"[[petitioner],[]]","[[-1],[]]",-1
"We may assume for purposes of this opinion, then, that if petitioner had pleaded not guilty and, having taken the stand at a trial, testified she did ""some of it,"" she could have been cross-examined on the frequency of her drug deliveries and the quantity of cocaine involved.","[[petitioner,she_1,she_2,her],[]]","[[1,1,1,1],[]]",1
"she did ""some of it,""","[[she],[]]","[[0],[]]",0
petitioner had pleaded not guilty,"[[petitioner],[]]","[[1],[]]",1
"The Government would turn this constitutional shield into a prosecutorial sword by having the defendant relinquish all rights against compelled self-incrimination upon entry of a guilty plea, including the right to remain silent at sentencing.","[[],[government,defendant]]","[[],[1,-1]]",-1
"Here, petitioner statement that she had done ""some of "" the proffered conduct did not pose a threat to the integrity of fact finding proceedings, for the purpose of the District Court inquiry was simply to ensure that petitioner understood the charges and that there was a factual basis for the Government case.","[[petitioner,she],[government]]","[[1,1],[1]]",1
"she had done ""some of "" the proffered conduct did not pose a threat to the integrity of fact finding proceedings, for the purpose of the District Court inquiry was simply to ensure","[[she],[]]","[[1],[]]",1
petitioner understood the charges,"[[petitioner],[]]","[[1],[]]",1
there was a factual basis for the Government case.,"[[],[government]]","[[],[1]]",1
"The Mayor of Philadelphia is empowered by the city charter to appoint a Nominating Panel, which in turn submits to him nominees to fill vacancies on the School Board.","[[Mayor],[]]","[[0],[]]",0
The Mayor of Philadelphia is empowered by the city charter to appoint a Nominating Panel,"[[Mayor],[]]","[[0],[]]",0
in turn submits to him nominees to fill vacancies on the School Board.,"[[him],[]]","[[0],[]]",0
The Mayor must appoint four members from the citizenry at large; each of the remaining nine must be the highest ranking officer of one of nine designated categories of citywide organizations.,"[[Mayor],[]]","[[0],[]]",0
The Mayor must appoint four members from the citizenry at large,"[[Mayor],[]]","[[0],[]]",0
Respondents brought this action for declaratory and injunctive relief charging that Mayor Tate had violated the Equal Protection Clause of the Fourteenth Amendment by discriminating against Negroes in appointments to the 1971 Panel.,"[[Mayor],[Respondents]]","[[-1],[1]]",-1
Respondents brought this action for declaratory and injunctive relief charging,"[[],[Respondents]]","[[],[1]]",1
Mayor Tate had violated the Equal Protection Clause of the Fourteenth Amendment by discriminating against Negroes in appointments to the 1971 Panel.,"[[Mayor],[]]","[[-1],[]]",-1
"Following hearings, the District Court found that respondents had failed to prove racial discrimination and dismissed their complaint.","[[],[Respondents]]","[[],[-1]]",-1
respondents had failed to prove racial discrimination,"[[],[Respondents]]","[[],[-1]]",-1
"The Court of Appeals reversed, concluding that respondents had established an unrebutted prima facie case of unlawful exclusion of Negroes from consideration for service on the 1971 Panel.","[[],[Respondents]]","[[],[1]]",1
respondents had established an unrebutted prima facie case of unlawful exclusion of Negroes from consideration for service on the 1971 Panel.,"[[],[Respondents]]","[[],[1]]",1
"Although Tate was succeeded, while the case was sub judice, by Mayor Rizzo (as to whose Panel appointment practices the record is silent), the court directed the issuance of certain injunctive relief against Rizzo with regard to the 1973 Panel and future Panels.","[[Mayor],[]]","[[-1],[]]",-1
"the case was sub judice, by Mayor Rizzo (as to whose Panel appointment practices the record is silent)","[[Mayor],[]]","[[1],[]]",1
"The Mayor principal argument, that federal courts may not interfere with the discretionary appointment powers of an elected executive officer, is of greater importance than was accorded it by the Court of Appeals, but the argument need not be addressed here since the record is devoid of reliable proof of racial discrimination.","[[Mayor],[]]","[[-1],[]]",-1
"The Mayor principal argument, that federal courts may not interfere with the discretionary appointment powers of an elected executive officer, is of greater importance","[[Mayor],[]]","[[1],[]]",1
"The Court of Appeals finding of racial discrimination rests on ambiguous testimony as to a statement in 1969 by then Mayor Tate with regard to the 1969 School Board, not the 1971 Panel; the unawareness of certain organizations on the part of a city official who did not have final authority over the challenged appointments; and racial-composition percentage comparisons the [415 U.S. 605, 606] District Court correctly rejected as meaningless in the context of this case.","[[Mayor],[]]","[[1],[]]",1
"The Court of Appeals finding of racial discrimination rests on ambiguous testimony as to a statement in 1969 by then Mayor Tate with regard to the 1969 School Board, not the 1971 Panel","[[Mayor],[]]","[[-1],[]]",-1
The principal issue throughout this litigation has been whether Mayor Tate violated the Fourteenth Amendment.,"[[Mayor],[]]","[[0],[]]",0
Mayor Tate violated the Fourteenth Amendment.,"[[Mayor],[]]","[[-1],[]]",-1
"Respondents include the Educational Equality League, 4 the president of the League, another citizen of Philadelphia, and two students attending the city public schools.","[[],[Respondents]]","[[],[0]]",0
"Shortly after Mayor Tate appointment [415 U.S. 605, 609] of the 1971 Nominating Panel, respondents filed this suit as a class action in the United States District Court for the Eastern District of Pennsylvania, relying on 42 U.S.C. 1983 and 28 U.S.C. 1343 (3).","[[Mayor],[Respondents]]","[[-1],[1]]",-1
"The gravamen of their complaint, which named the Mayor of Philadelphia and the Nominating Panel as defendant, was that Mayor Tate had violated the Equal Protection Clause of the Fourteenth Amendment by discriminating against Negroes in his appointments to the 1971 Panel.","[[Mayor],[]]","[[-1],[]]",-1
"The gravamen of their complaint, which named the Mayor of Philadelphia and the Nominating Panel as defendant,","[[Mayor],[]]","[[-1],[]]",0
Mayor Tate had violated the Equal Protection Clause of the Fourteenth Amendment by discriminating against Negroes in his appointments to the 1971 Panel.,"[[Mayor],[]]","[[-1],[]]",-1
Respondents sought an injunction barring the 1971 Panel from submitting nominees for the Board to the Mayor and a declaratory judgment that Mayor Tate had violated the Constitution.,"[[Mayor],[Respondents]]","[[-1],[1]]",-1
Respondents sought an injunction barring the 1971 Panel from submitting nominees for the Board to the Mayor and a declaratory judgment,"[[],[Respondents]]","[[],[1]]",1
Mayor Tate had violated the Constitution.,"[[Mayor],[]]","[[-1],[]]",-1
"They also requested an order directing the Mayor to appoint a Nominating Panel ""fairly representative of the racial composition of the school community.""","[[Mayor],[they]]","[[-1],[1]]",-1
"Respondents did not challenge the racial composition of the School Board, which consisted of two Negroes and seven whites when respondents filed their complaint and which now consists of three Negroes and six whites.","[[],[Respondents]]","[[],[-1]]",1
Respondents did not challenge the racial composition of the School Board,"[[],[Respondents]]","[[],[-1]]",0
respondents filed their complaint,"[[],[Respondents]]","[[],[-1]]",-1
"Moreover, respondents did not dispute the validity of the qualifications set forth in the city charter with regard to the Nominating Panel.","[[],[Respondents]]","[[],[-1]]",1
"Finally, despite the prayer in their complaint for an order directing the appointment of a Panel ""fairly representative of the racial composition of the school community . . .,"" respondents disclaimed any effort to impose a racial quota on the Mayor in his appointments to the Panel.","[[Mayor],[Respondents]]","[[-1],[1]]",-1
Respondents sought solely to establish that the Mayor unconstitutionally excluded qualified Negroes from consideration for membership on the Nominating Panel and to remedy that alleged defect prospectively as well as retrospectively.,"[[Mayor],[Respondents]]","[[-1],[1]]",-1
Respondents sought solely to establish,"[[],[Respondents]]","[[],[1]]",1
the Mayor unconstitutionally excluded qualified Negroes from consideration for membership on the Nominating Panel and to remedy,"[[Mayor],[]]","[[-1],[]]",-1
"Following two days of hearings, the District Court dismissed respondents complaint Educational Equality League v. Tate","[[],[Respondents]]","[[],[-1]]",-1
"The court also found that Deputy Mayor Zecca, the person assigned by Mayor Tate to assist in selecting qualifying organizations and institutions, at the time of the hearing was unaware of the existence of many of these ""black organizations.""","[[Mayor],[]]","[[-1],[]]",-1
"Deputy Mayor Zecca, the person assigned by Mayor Tate to assist in selecting qualifying organizations and institutions, at the time of the hearing was unaware of the existence of many of these ""black organizations.""","[[Mayor],[]]","[[-1],[]]",-1
"The court also rejected as unreliable data submitted by respondents in an effort to show that Mayor Tate appointments to various positions in the city government other than the Panel reflected a disproportionately low [415 U.S. 605, 612] percentage of Negroes and a pattern of discrimination.","[[Mayor],[Respondents]]","[[1],[-1]]",1
"Mayor Tate appointments to various positions in the city government other than the Panel reflected a disproportionately low [415 U.S. 605, 612] percentage of Negroes and a pattern of discrimination.","[[Mayor],[]]","[[-1],[]]",-1
The court also rejected as unreliable data submitted by respondents in an effort to show,"[[],[Respondents]]","[[],[-1]]",-1
